OBJECTID,GEO_ID,GEO_NAME,GEO_LAND_AREA_SQ_KM,FIPS_CODE,B01001_001E,B01001_001M,POP_DENSITY,B09020_021E,B09020_021M
1,0400000US01,Alabama,131173.021778,01,4864680,,37.0859795258288,21198,553
2,0400000US02,Alaska,1478954.710615,02,738516,,0.49934997650665,2356,306
3,0400000US04,Arizona,294360.315403,04,6946685,,23.5992579043459,18372,709
4,0400000US05,Arkansas,134678.821794,05,2990671,,22.2059486425744,17500,468
5,0400000US06,California,403668.729709,06,39148760,,96.9823945199369,134362,1752
6,0400000US08,Colorado,268416.653707,08,5531141,,20.606549271856,16657,474
7,0400000US09,Connecticut,12542.289823,09,3581504,,285.554236949002,25698,618
8,0400000US10,Delaware,5046.719455,10,949495,,188.141030716359,4380,181
9,0400000US11,District of Columbia,158.314712,11,684498,,4323.65376124993,3680,425
10,0400000US12,Florida,138954.404443,12,20598139,,148.236675782735,80238,1398
11,0400000US13,Georgia,149485.550209,13,10297484,,68.8861497690097,32266,571
12,0400000US15,Hawaii,16634.007011,15,1422029,,85.489262993554,7188,521
13,0400000US16,Idaho,214049.937374,16,1687809,,7.88511793419012,4471,205
14,0400000US17,Illinois,143779.846608,17,12821497,,89.1745074325779,70670,1060
15,0400000US18,Indiana,92788.742403,18,6637426,,71.5326647188765,38608,627
16,0400000US19,Iowa,144657.468817,19,3132499,,21.6545956846707,25063,438
17,0400000US20,Kansas,211753.602474,20,2908776,,13.7366069149031,20116,445
18,0400000US21,Kentucky,102282.391166,21,4440204,,43.4112260124398,24291,539
19,0400000US22,Louisiana,111901.565009,22,4663616,,41.6760569847697,22729,630
20,0400000US23,Maine,79887.942759,23,1332813,,16.6835313812089,9040,451
21,0400000US24,Maryland,25151.854722,24,6003435,,238.68756663694,28595,764
22,0400000US25,Massachusetts,20204.302435,25,6830193,,338.056363092646,41135,633
23,0400000US26,Michigan,146609.254262,26,9957488,,67.9185502315245,48205,858
24,0400000US27,Minnesota,206231.744272,27,5527358,,26.8016838024215,34061,492
25,0400000US28,Mississippi,121532.211306,28,2988762,,24.5923444318374,15230,609
26,0400000US29,Missouri,178052.865028,29,6090062,,34.2036731565218,40511,777
27,0400000US30,Montana,376973.642667,30,1041732,,2.76340805322619,5431,240
28,0400000US31,Nebraska,198957.25857,31,1904760,,9.57371454396995,12529,303
29,0400000US32,Nevada,284537.049651,32,2922849,,10.2722967135037,6021,315
30,0400000US33,New Hampshire,23190.065018,33,1343622,,57.9395529489498,9261,220
31,0400000US34,New Jersey,19048.51504,34,8881845,,466.274929113845,45495,924
32,0400000US35,New Mexico,314197.511545,35,2092434,,6.6596135332546,7103,395
33,0400000US36,New York,122050.448177,36,19618453,,160.740524045835,116192,1407
34,0400000US37,North Carolina,125932.673911,37,10155624,,80.6432809262611,44118,695
35,0400000US38,North Dakota,178698.456465,38,752201,,4.20933126608918,6551,176
36,0400000US39,Ohio,105823.943364,39,11641879,,110.011766996394,74505,864
37,0400000US40,Oklahoma,177664.359177,40,3918137,,22.0535903664083,19734,548
38,0400000US41,Oregon,248627.892771,41,4081943,,16.4178803693586,17151,791
39,0400000US42,Pennsylvania,115881.835814,42,12791181,,110.38124232456,89623,1246
40,0400000US44,Rhode Island,2677.756195,44,1056611,,394.588201111416,7815,296
41,0400000US45,South Carolina,77865.784756,45,4955925,,63.6470179492812,18929,429
42,0400000US46,South Dakota,196346.030712,46,864289,,4.40186642360872,7985,497
43,0400000US47,Tennessee,106791.21066,47,6651089,,62.2812398032982,30780,556
44,0400000US48,Texas,676678.029885,48,27885195,,41.2089557639976,91399,1137
45,0400000US49,Utah,213355.015181,49,3045350,,14.273627443988,4887,478
46,0400000US50,Vermont,23873.097244,50,624977,,26.179133507994,4005,231
47,0400000US51,Virginia,102258.161424,51,8413774,,82.2797308579938,28314,543
48,0400000US53,Washington,172117.813215,53,7294336,,42.3799016717016,28989,857
49,0400000US54,West Virginia,62266.312017,54,1829054,,29.3746962161599,9633,247
50,0400000US55,Wisconsin,140292.933626,55,5778394,,41.188061655367,33970,719
51,0400000US56,Wyoming,251458.584024,56,581836,,2.31384425494286,2540,142
52,0400000US72,Puerto Rico,8868.69145,72,3386941,,381.898617072759,11945,770
